# CENSUS TRACT,PRIMARY,OTHER,ALL
# TOTAL,344804,501430,846234
040131037,23,22,45
040131038,3,20,23
040131039,1,1,2
040131040,1,1,2
040131041,0,3,3
040131042,102,111,213
040131043,0,2,2
040131044,11,3,14
040131045,1,0,1
040131046,31,61,92
040131047,4,4,8
040131048,21,23,44
040131049,2,5,7
040131050,53,163,216
040131051,74,169,243
040131052,6,8,14
040131053,12,17,29
040131054,12,10,22
040131055,6,25,31
040131057,5,3,8
040131058,4,6,10
040131059,5,5,10
040131060,6,4,10
040131061,11,18,29
040131062,17,33,50
040131063,21,22,43
040131064,8,21,29
040131065,8,7,15
040131066,17,18,35
040131067,13,8,21
040131068,32,30,62
040131069,3,0,3
040131070,9,1,10
040131071,1,1,2
040131072,1,1,2
040131073,3,3,6
040131074,18,20,38
040131075,18,32,50
040131076,2,9,11
040131077,11,14,25
040131078,12,50,62
040131079,22,48,70
040131080,9,34,43
040131081,9,9,18
040131082,4,2,6
040131083,27,33,60
040131084,14,21,35
040131085,19,39,58
040131086,13,27,40
040131087,5,14,19
040131088,3,4,7
040131089,10,3,13
040131090,9,17,26
040131094,19,17,36
040131095,3,1,4
040131096,3,0,3
040131097,5,16,21
040131098,2,1,3
040131099,1,0,1
040131100,4,0,4
040131101,1,1,2
040131103,1,4,5
040131104,1,4,5
040131105,101,185,286
040131106,4,13,17
040131107,8,9,17
040131108,3,5,8
040131109,7,10,17
040131110,7,14,21
040131111,11,11,22
040131112,16,33,49
040131113,22,5,27
040131114,0,3,3
040131115,8,12,20
040131116,4,23,27
040131117,11,28,39
040131118,32,111,143
040131119,7,9,16
040131120,2,1,3
040131121,1,1,2
040131123,1,1,2
040131125,9,1,10
040131126,1,0,1
040131127,2,0,2
040131129,2,0,2
040131130,2,7,9
040131131,4,7,11
040131132,55,143,198
040131133,5,23,28
040131134,17,36,53
040131135,0,1,1
040131136,1,0,1
040131137,1,0,1
040131138,7,1,8
040131139,1,0,1
040131140,4,5,9
040131141,3,8,11
040131142,2,0,2
040131143,1,1,2
040131149,5,9,14
040131151,0,1,1
040131152,0,1,1
040131158,2,0,2
040131160,2,1,3
040131162,3,1,4
040131163,0,1,1
040131164,1,0,1
040131165,1,0,1
040131166,2,1,3
040131167,136,123,259
040132168,340,743,1083
040132169,9,22,31
040132170,7,21,28
040132171,3,6,9
040132172,37,82,119
040132173,7,10,17
040132174,4,8,12
040132175,8,4,12
040132176,34,89,123
040132177,5,3,8
040132178,7,1,8
040132179,6,9,15
040132180,8,6,14
040132181,2,0,2
040132182,6,4,10
040132183,7,1,8
040133184,1,1,2
040133185,1,6,7
040133186,0,9,9
040133187,0,1,1
040133189,5,3,8
040133190,10,10,20
040133191,1,3,4
040133194,60,58,118
040133195,3,3,6
040133196,7,7,14
040133197,6,7,13
040133198,9,11,20
040133199,43,46,89
040133200,5,2,7
040134201,12,11,23
040134202,33,27,60
040134203,13,4,17
040134204,0,5,5
040134205,2,5,7
040134206,13,21,34
040134207,27,17,44
040134208,7,6,13
040134209,10,14,24
040134210,6,1,7
040134211,22,37,59
040134212,3,3,6
040134213,0,7,7
